       TIME    M1     M2  KW1 KW2    SEP    ECC R1/ROL1 R2/ROL2  TYPE
     0.0000  2.000  1.000  1  1  4000.000  0.60  0.001  0.001 INITIAL   detached  
  1166.6010  2.000  1.000  2  1  4000.043  0.60  0.002  0.001 KW CHNGE  detached  
  1174.1763  2.000  1.000  3  1  4000.168  0.60  0.003  0.001 KW CHNGE  detached  
  1196.9006  1.998  1.000  4  1  4003.162  0.60  0.005  0.001 KW CHNGE  detached  
  1489.3643  1.975  1.000  5  1  4034.018  0.60  0.012  0.001 KW CHNGE  detached  
  1494.3931  1.906  1.000  6  1  4108.183  0.60  0.126  0.001 KW CHNGE  detached  
  1496.8923  0.636  1.040 11  1  5992.766  0.55  0.000  0.000 KW CHNGE  detached  
  9680.0610  0.636  1.040 11  2  5992.766  0.55  0.000  0.001 KW CHNGE  detached  
 10179.2781  0.636  1.040 11  3  5994.521  0.55  0.000  0.001 KW CHNGE  detached  
 10875.1496  0.637  0.819 11  4  6892.593  0.55  0.000  0.004 KW CHNGE  detached  
 11006.0068  0.637  0.779 11  5  7085.705  0.55  0.000  0.010 KW CHNGE  detached  
 11010.1853  0.639  0.521 11 11  8593.794  0.55  0.000  0.000 KW CHNGE  detached  
 12000.3084  0.639  0.521 11 11  8593.794  0.55  0.000  0.000 MAX TIME  detached  
