0 2 0 801.072 4000 0.6     0 5 2 2.86356 3.87019 0.253428    1 3 1 0.949371 3.76185 0.01
0 2 0 819.798 4026.85 0.6     0 6 1.98 4.64651 3.72025 0.257427    1 3 1 0.949801 3.76191 0.01
0 2 0 938.438 4118.99 0.6     0 7 1.91333 13.3416 3.66994 0.445895    1 3 1 0.95255 3.76229 0.01
0 2 0 1022.51 4217.43 0.6     0 8 1.84533 128.77 3.55396 0.490746    1 3 1 0.954529 3.76257 0.01
0 2 0 1023.57 7315.81 0.6     0 12 0.640284 0.0130841 5.10332 0.640284    1 3 1 0.954554 3.76257 0.01
0 2 0 8497.49 7315.81 0.6     0 12 0.640284 0.0122579 3.60321 0.640284    1 5 1 1.51667 3.75454 0.110048
0 2 0 8704.19 7360.68 0.6     0 12 0.640284 0.0122485 3.59923 0.640284    1 6 0.99 1.76404 3.7301 0.116711
0 2 0 9975.48 8389.94 0.6     0 12 0.640284 0.0121952 3.57689 0.640284    1 7 0.79 12.1736 3.6429 0.445936
0 2 0 10056.4 8527.31 0.6     0 12 0.640284 0.0121921 3.57558 0.640284    1 8 0.766959 155.338 3.5133 0.473957
0 2 0 10057.7 9778.69 0.6     0 12 0.640284 0.012192 3.57556 0.640284    1 12 0.539083 0.0128121 5.10788 0.539083
0 2 0 10245.7 10175 0.6     0 12 0.640284 0.0121848 3.57256 0.640284    1 12 0.539083 0.0127957 4.2256 0.539083
0 2 0 11511.7 10175 0.378757     1 12 0.539083 0.0126927 3.91704 0.539083    3 12 0.727877 0.0104008 3.57833 0.727877
